Fecha,C1,C2,C3,C4,C5,SB,Suma_cifras,Suma_total
2026-8-22,11,17,22,32,35,1,117,118
2026-8-19,6,13,14,26,37,12,96,108
2026-8-17,15,31,36,41,42,3,165,168
2026-8-15,3,6,13,16,28,8,66,74
2026-8-12,16,23,33,36,42,1,150,151
2026-8-10,9,13,21,31,36,3,110,113
2026-8-8,12,13,22,31,42,9,120,129
2026-8-5,7,15,23,37,43,3,125,128
2026-8-3,1,12,13,25,34,3,85,88
2026-8-1,27,29,33,38,39,16,166,182
2026-7-29,1,7,11,26,27,11,72,83
2026-7-27,1,5,10,26,38,4,80,84
2026-7-25,1,6,30,31,35,2,103,105
2026-7-22,3,6,18,32,33,7,92,99
2026-7-20,3,10,11,23,33,15,80,95
2026-7-18,5,6,31,32,34,8,108,116
2026-7-15,10,22,27,30,35,16,124,140
2026-7-13,10,11,15,21,34,1,91,92
2026-7-11,29,35,38,41,42,2,185,187
2026-7-8,4,12,26,35,37,13,114,127
2026-7-6,14,17,31,42,43,2,147,149
2026-7-4,3,4,14,26,41,8,88,96
2026-7-1,3,14,26,34,35,8,112,120
2026-6-29,15,21,25,31,35,4,127,131
2026-6-27,13,17,18,30,35,14,113,127
2026-6-24,8,17,31,36,41,8,133,141
2026-6-22,4,10,20,27,36,1,97,98
2026-6-20,8,17,26,29,32,7,112,119
2026-6-17,7,12,19,34,35,9,107,116
2026-6-15,18,24,32,37,39,3,150,153
2026-6-13,22,35,37,38,42,12,174,186
2026-6-10,7,14,22,35,41,6,119,125
2026-6-8,14,26,30,37,39,2,146,148
2026-6-6,7,11,25,32,36,8,111,119
2026-6-3,4,12,13,31,35,9,95,104
2026-6-1,12,19,33,35,41,10,140,150
2026-5-30,8,14,23,34,38,4,117,121
2026-5-27,11,24,26,31,37,16,129,145
2026-5-25,6,13,20,32,42,16,113,129
2026-5-23,12,16,25,27,37,7,117,124
2026-5-20,4,8,10,42,43,5,107,112
2026-5-18,8,10,31,32,40,2,121,123
2026-5-16,4,9,16,22,28,15,79,94
2026-5-13,3,15,16,22,38,2,94,96
2026-5-11,6,12,15,23,31,16,87,103
2026-5-9,1,2,13,19,43,6,78,84
2026-5-6,9,24,25,29,42,2,129,131
2026-5-4,3,5,17,24,38,11,87,98
2026-5-2,10,12,13,24,39,9,98,107
2026-4-29,3,6,7,13,28,2,57,59
2026-4-27,1,13,19,27,28,14,88,102
2026-4-25,12,13,17,25,34,4,101,105
2026-4-22,11,16,29,37,39,3,132,135
2026-4-20,2,29,30,35,41,1,137,138
2026-4-18,20,24,27,28,32,13,131,144
2026-4-15,11,25,29,34,39,13,138,151
2026-4-13,17,19,21,38,42,5,137,142
2026-4-11,6,16,19,26,43,16,110,126
2026-4-8,2,3,22,25,36,5,88,93
2026-4-6,14,21,25,29,41,9,130,139
2026-4-4,2,15,16,18,35,6,86,92
2026-4-1,1,3,14,35,37,14,90,104
2026-3-30,2,5,18,20,37,8,82,90
2026-3-28,24,37,38,40,42,7,181,188
2026-3-25,22,25,36,41,42,16,166,182
2026-3-23,4,11,12,23,28,11,78,89
2026-3-21,23,24,33,39,42,13,161,174
2026-3-18,4,8,14,17,18,12,61,73
2026-3-16,12,18,19,21,42,8,112,120
2026-3-14,2,15,27,38,39,10,121,131
2026-3-11,9,11,22,23,33,6,98,104
2026-3-9,1,5,15,22,27,9,70,79
2026-3-7,1,3,8,20,21,7,53,60
2026-3-4,6,10,12,19,26,14,73,87
2026-3-2,1,10,21,34,36,1,102,103
2026-2-28,3,4,19,25,42,15,93,108
2026-2-25,15,24,34,38,43,8,154,162
2026-2-23,4,11,15,23,43,2,96,98
2026-2-21,6,13,14,17,19,12,69,81
2026-2-18,2,4,12,24,42,6,84,90
2026-2-16,16,18,22,27,33,5,116,121
2026-2-14,14,35,37,38,41,10,165,175
2026-2-11,13,26,33,34,38,5,144,149
2026-2-9,3,10,15,25,35,1,88,89
2026-2-7,5,7,12,13,27,4,64,68
2026-2-4,1,8,10,19,26,9,64,73
2026-2-2,6,8,19,21,30,9,84,93
2026-1-31,8,12,20,24,36,4,100,104
2026-1-28,2,9,17,23,35,2,86,88
2026-1-26,15,16,20,29,39,12,119,131
2026-1-24,17,21,24,30,34,3,126,129
2026-1-21,3,4,8,17,31,11,63,74
2026-1-19,8,9,17,27,30,11,91,102
2026-1-17,13,26,32,34,39,15,144,159
2026-1-14,4,11,21,24,28,7,88,95
2026-1-12,7,26,27,33,36,14,129,143
2026-1-10,6,10,25,33,43,16,117,133
2026-1-7,4,18,21,28,33,2,104,106
2026-1-5,4,7,20,22,39,3,92,95
2026-1-3,1,4,11,14,34,5,64,69
2025-12-31,9,13,19,41,43,16,125,141
2025-12-29,11,15,23,36,42,8,127,135
2025-12-27,4,15,22,35,41,3,117,120
2025-12-24,14,18,27,34,40,7,133,140
2025-12-22,9,24,27,35,42,4,137,141
2025-12-20,1,12,19,22,29,7,83,90
2025-12-17,6,15,17,27,30,16,95,111
2025-12-15,3,18,30,33,42,5,126,131
2025-12-13,12,14,17,37,41,9,121,130
2025-12-10,20,40,41,42,43,11,186,197
2025-12-8,2,7,30,33,42,4,114,118
2025-12-6,13,18,27,29,35,8,122,130
2025-12-3,7,16,30,37,39,2,129,131
2025-12-1,7,26,30,37,39,3,139,142
2025-11-29,4,17,28,33,43,3,125,128
2025-11-26,8,13,33,35,40,8,129,137
2025-11-24,3,9,23,28,37,14,100,114
2025-11-22,4,8,20,21,43,16,96,112
2025-11-19,12,24,32,36,41,15,145,160
2025-11-17,3,18,28,32,37,11,118,129
2025-11-15,7,9,16,24,39,7,95,102
2025-11-12,14,20,39,40,41,10,154,164
2025-11-10,10,12,17,30,34,8,103,111
2025-11-8,14,23,33,38,40,6,148,154
2025-11-5,14,16,26,39,43,14,138,152
2025-11-3,5,12,18,27,31,3,93,96
2025-11-1,5,24,27,37,41,6,134,140
2025-10-29,7,9,13,21,42,3,92,95
2025-10-27,5,18,22,24,31,7,100,107
2025-10-25,1,14,36,37,39,13,127,140
2025-10-22,1,21,23,30,42,16,117,133
2025-10-20,6,8,12,19,36,16,81,97
2025-10-18,6,14,26,40,41,7,127,134
2025-10-15,4,18,37,38,40,15,137,152
2025-10-13,9,21,27,29,41,13,127,140
2025-10-11,1,6,15,25,38,14,85,99
2025-10-8,5,6,25,26,32,14,94,108
2025-10-6,5,18,23,34,40,14,120,134
2025-10-4,20,23,30,39,43,3,155,158
2025-10-1,11,15,20,25,41,7,112,119
2025-9-29,1,13,25,30,31,6,100,106
2025-9-27,14,17,19,28,33,2,111,113
2025-9-24,2,3,9,21,35,12,70,82
2025-9-22,5,6,12,14,35,12,72,84
2025-9-20,12,24,29,39,42,8,146,154
2025-9-17,5,7,11,15,23,3,61,64
2025-9-15,3,5,13,21,31,16,73,89
2025-9-13,6,13,14,28,34,13,95,108
2025-9-10,5,8,16,27,35,5,91,96
2025-9-8,4,18,27,34,39,9,122,131
2025-9-6,2,15,22,29,42,8,110,118
2025-9-3,5,19,21,42,43,14,130,144
2025-9-1,9,30,32,39,43,13,153,166
2025-8-30,12,18,22,26,33,6,111,117
2025-8-27,1,6,14,33,43,6,97,103
2025-8-25,8,12,14,32,35,9,101,110
2025-8-23,7,19,29,37,39,11,131,142
2025-8-20,13,20,26,28,37,9,124,133
2025-8-18,1,12,14,28,33,1,88,89
2025-8-16,2,4,8,12,32,8,58,66
2025-8-13,1,3,9,24,34,9,71,80
2025-8-11,13,16,36,37,38,12,140,152
2025-8-9,2,9,12,22,42,3,87,90
2025-8-6,12,20,29,30,38,4,129,133
2025-8-4,25,30,33,34,35,12,157,169
2025-8-2,1,3,4,34,37,15,79,94
2025-7-30,19,22,24,31,39,3,135,138
2025-7-28,8,16,22,34,41,10,121,131
2025-7-26,1,17,21,28,35,12,102,114
2025-7-23,7,8,11,27,38,3,91,94
2025-7-21,4,13,18,33,36,11,104,115
2025-7-19,4,7,23,37,43,15,114,129
2025-7-16,4,15,21,30,35,5,105,110
2025-7-14,7,8,12,33,39,13,99,112
2025-7-12,1,11,24,25,35,8,96,104
2025-7-9,3,5,9,35,39,11,91,102
2025-7-7,9,16,28,36,43,12,132,144
2025-7-5,17,26,29,32,34,2,138,140
2025-7-2,5,10,12,24,29,13,80,93
2025-6-30,3,4,8,11,17,14,43,57
2025-6-28,10,13,18,34,40,12,115,127
2025-6-25,4,11,12,14,21,12,62,74
2025-6-23,9,17,25,42,43,3,136,139
2025-6-21,5,24,26,30,43,4,128,132
2025-6-18,2,6,7,13,18,14,46,60
2025-6-16,4,8,10,30,40,10,92,102
2025-6-14,8,9,21,27,33,2,98,100
2025-6-11,11,21,23,30,34,5,119,124
2025-6-9,10,28,31,32,42,10,143,153
2025-6-7,3,26,27,29,30,15,115,130
2025-6-4,2,10,27,31,33,10,103,113
2025-6-2,15,23,26,31,39,9,134,143
2025-5-31,2,13,34,36,41,7,126,133
2025-5-28,1,11,22,28,40,1,102,103
2025-5-24,7,15,33,35,36,10,126,136
2025-5-21,3,11,20,35,40,16,109,125
2025-5-17,2,10,14,23,36,15,85,100
2025-5-14,18,20,21,26,36,7,121,128
2025-5-10,5,11,23,25,34,3,98,101
2025-5-7,8,14,30,36,42,1,130,131
2025-5-3,3,21,31,33,40,14,128,142
2025-4-30,6,23,32,34,40,14,135,149
2025-4-26,1,16,18,20,25,15,80,95
2025-4-23,2,9,22,23,25,5,81,86
2025-4-19,24,34,35,36,40,5,169,174
2025-4-16,18,32,34,36,38,13,158,171
2025-4-12,21,25,38,39,42,15,165,180
2025-4-9,12,25,28,37,42,9,144,153
2025-4-5,4,9,17,18,37,5,85,90
2025-4-2,9,13,20,23,24,10,89,99
2025-3-29,17,25,27,28,39,3,136,139
2025-3-26,7,13,35,37,43,2,135,137
2025-3-22,6,10,17,21,40,16,94,110
2025-3-19,9,15,18,28,42,11,112,123
2025-3-15,5,10,13,31,37,16,96,112
2025-3-12,17,20,26,27,42,1,132,133
2025-3-8,3,5,6,33,42,4,89,93
2025-3-5,8,14,19,37,43,6,121,127
2025-3-1,7,21,26,32,40,12,126,138
2025-2-26,2,8,19,21,43,9,93,102
2025-2-22,7,12,19,33,38,8,109,117
2025-2-19,6,8,32,35,39,3,120,123
2025-2-15,1,13,27,35,41,10,117,127
2025-2-12,4,5,7,25,32,4,73,77
2025-2-8,4,10,12,27,40,9,93,102
2025-2-5,4,7,16,18,43,2,88,90
2025-2-1,5,6,19,32,37,16,99,115
2025-1-29,7,12,33,36,39,10,127,137
2025-1-25,10,26,37,40,42,5,155,160
2025-1-22,4,15,23,27,34,13,103,116
2025-1-18,1,6,7,20,41,2,75,77
2025-1-15,13,22,25,32,35,10,127,137
2025-1-11,9,15,23,28,39,7,114,121
2025-1-8,1,5,28,36,38,5,108,113
2025-1-4,16,34,36,37,40,12,163,175
2025-1-1,11,16,18,37,40,16,122,138
2024-12-28,2,4,22,24,32,10,84,94
2024-12-25,4,19,28,32,39,13,122,135
2024-12-21,11,13,27,28,43,15,122,137
2024-12-18,9,10,15,26,28,2,88,90
2024-12-14,19,25,32,34,41,9,151,160
2024-12-11,10,12,18,22,40,4,102,106
2024-12-7,5,10,15,21,22,12,73,85
2024-12-4,7,10,16,31,36,10,100,110
2024-11-30,3,12,14,19,28,9,76,85
2024-11-27,10,21,22,36,40,14,129,143
2024-11-23,7,13,15,33,34,8,102,110
2024-11-20,11,12,19,21,32,3,95,98
2024-11-16,1,23,32,36,40,13,132,145
2024-11-13,1,5,25,29,31,12,91,103
2024-11-9,7,20,24,33,40,6,124,130
2024-11-6,6,15,24,28,31,10,104,114
2024-11-2,10,24,36,40,42,11,152,163
2024-10-30,6,25,33,42,43,10,149,159
2024-10-26,18,20,21,26,32,3,117,120
2024-10-23,8,14,16,26,32,9,96,105
2024-10-19,31,32,33,39,43,14,178,192
2024-10-16,1,16,23,33,42,5,115,120
2024-10-12,4,5,9,18,34,16,70,86
2024-10-9,5,7,10,25,43,16,90,106
2024-10-5,12,13,27,32,34,6,118,124
2024-10-2,12,20,24,34,39,7,129,136
2024-9-28,7,14,19,20,27,16,87,103
